わざ名,配布対象,タイプ,いりょく,めいちゅう,PP,ぶんるい,接触/非接触,効果
くさむすび,たつた、たかほ、もりもり、はるた、れおさん,くさ,-,100,20,特殊,非接触,"相手の『おもさ』が重いほど威力が高くなる。10kg未満は20、25kg未満は40、50kg未満は60、100kg未満は80、
200kg未満は100、それ以上は120。ダイマックスしている相手には無効。"
すいとる,いっくん,くさ,20,100,25,特殊,非接触,相手に与えたダメージの半分だけ自分のHPが回復する。
ソーラービーム,たつた、はるた,くさ,120,100,10,特殊,非接触,"1ターン目は攻撃せずに、2ターン目で攻撃する。
天気が『にほんばれ』の時は1ターンためずに攻撃でき、『あめ』『ゆき』『すなあらし』の時は威力が半分になる。"
ハードプラント,たかほ,くさ,150,90,5,特殊,非接触,使用した次のターンは行動できない。
はなびらのまい,たつた、たかほ、まちだ、ふうと,くさ,120,100,10,特殊,非接触,2～3ターン連続で攻撃し、その後自分は1～4ターンの間『こんらん』状態になる。
マジカルリーフ,まちだ、ぶっちー、はるた、まこっちゃん,くさ,60,-,20,特殊,非接触,自分の命中率、相手の回避率に関係なく必ず命中する。
メガドレイン,たつた、たかほ、あゆま、まっちゃん、みっちー、にしき、せな、いっくん,くさ,40,100,15,特殊,非接触,相手に与えたダメージの半分だけ自分のHPが回復する。
リーフストーム,たつた、たかほ,くさ,130,90,5,特殊,非接触,攻撃後、100%の確率で自分の『とくこう』ランクが2段階下がる。
エレキフィールド,うめ、せな、ぶっちー、まこっちゃん,でんき,-,-,10,変化,非接触,"5ターンの間、場の状態を『エレキフィールド』にする。
『ひこう』タイプや特性『ふゆう』などではない地面にいるすべてのポケモンは、
『ねむり』『あくび』(ねむけ)状態にならず、また『でんき』タイプの技の威力が1.3倍になる。
すでに『ねむり』状態の場合は回復しない。
道具『エレキシード』を持ったポケモンは『ぼうぎょ』ランクが1段階上がる。"
かいでんぱ,うめ、れおさん,でんき,-,100,15,変化,非接触,相手の『とくこう』ランクを2段階下げる。
じゅうでん,"えいらく、たつた、もりみつ、たかほ、うめ、まちだ、とうま、もりもり、あゆま、
ぶっちー、ともき、はるた、まっちゃん、みっちー、にしき、せな、いっくん、ふうと、
まこっちゃん、れおさん",でんき,-,-,20,変化,非接触,一度だけ次回使う自分の『でんき』タイプの技の威力が2倍になる。自分の『とくぼう』ランクが1段階上がる。
でんじは,"えいらく、たつた、もりみつ、たかほ、うめ、まちだ、とうま、あゆま、ぶっちー、
ともき、はるた、まっちゃん、みっちー、にしき、せな、ふうと、まこっちゃん",でんき,-,90,20,変化,非接触,相手を『まひ』状態にする。『じめん』タイプや『でんき』タイプには無効。
でんじふゆう,うめ、せな、まこっちゃん、れおさん,でんき,-,-,10,変化,非接触,"5ターンの間、『ふゆう』状態となり、『じめん』タイプの技や、
『グラスフィールド』『ミストフィールド』『エレキフィールド』『サイコフィールド』などの効果を受けなくなる。"
かみなりのキバ,うめ、せな,でんき,65,95,15,物理,接触,10%の確率で相手を『まひ』状態にするか、ひるませる。
かみなりパンチ,うめ、まっちゃん、せな,でんき,75,100,15,物理,接触,10%の確率で相手を『まひ』状態にする。特性『てつのこぶし』の時、威力が1.2倍になる。
サンダーダイブ,うめ、まちだ、あゆま、はるた、みっちー、せな,でんき,100,95,15,物理,接触,"攻撃が外れたり、相手の技『まもる』などで失敗すると、自分の最大HPの半分のダメージを自分が受ける。
相手が技『ちいさくなる』を使用していると必ず命中し、威力が2倍になる。"
スパーク,"もりみつ、うめ、まちだ、とうま、あゆま、ともき、はるた、まっちゃん、みっちー、
せな、ふうと、まこっちゃん、れおさん",でんき,65,100,20,物理,接触,30%の確率で相手を『まひ』状態にする。
ほっぺすりすり,もりもり,でんき,20,100,20,物理,接触,100%の確率で相手を『まひ』状態にする。
ボルテッカー,まちだ、はるた、みっちー、せな,でんき,120,100,15,物理,接触,相手に与えたダメージの33%を自分も受ける。10%の確率で相手を『まひ』状態にする。
ワイルドボルト,うめ、せな,でんき,90,100,15,物理,接触,相手に与えたダメージの1/4を自分も受ける。
エレキネット,うめ、せな、まこっちゃん、れおさん,でんき,55,95,15,特殊,非接触,100%の確率で相手の『すばやさ』ランクを1段階下げる。
エレキボール,うめ、せな、まこっちゃん、れおさん,でんき,-,100,10,特殊,非接触,"相手より『すばやさ』が高いほど威力が高くなる。
1倍未満は40、2倍未満は60、3倍未満は80、4倍未満は120、それ以上は150。"
かみなり,うめ、あゆま、せな、まこっちゃん,でんき,110,70,10,特殊,非接触,"30%の確率で相手を『まひ』状態にする。
天気が『あめ』の時は必ず命中し、『にほんばれ』の時は命中率が50%になる。
相手が技『そらをとぶ』『とびはねる』『フリーフォール』を使っている時でも命中する。"
10まんボルト,"もりみつ、うめ、まちだ、とうま、あゆま、ともき、はるた、まっちゃん、みっちー、
せな、ふうと、まこっちゃん、れおさん",でんき,90,100,15,特殊,非接触,10%の確率で相手を『まひ』状態にする。
チャージビーム,うめ、ぶっちー、せな、れおさん、まこっちゃん,でんき,50,90,10,特殊,非接触,70%の確率で自分の『とくこう』ランクが1段階上がる。
でんきショック,"えいらく、たつた、もりみつ、たかほ、うめ、まちだ、とうま、もりもり、あゆま、
ぶっちー、ともき、はるた、まっちゃん、みっちー、にしき、せな、いっくん、ふうと、
まこっちゃん、れおさん",でんき,40,100,30,特殊,非接触,10%の確率で相手を『まひ』状態にする。
でんげきは,"もりみつ、うめ、まちだ、とうま、あゆま、ともき、はるた、まっちゃん、みっちー、
せな、ふうと、まこっちゃん、れおさん",でんき,60,-,20,特殊,非接触,自分の命中率、相手の回避率に関係なく必ず命中する。
でんじほう,うめ、せな、まこっちゃん,でんき,120,50,5,特殊,非接触,100%の確率で相手を『まひ』状態にする。
パラボラチャージ,うめ、せな、まこっちゃん,でんき,65,100,20,特殊,非接触,相手に与えたダメージの半分だけ自分のHPが回復する。
ほうでん,うめ、せな、まこっちゃん,でんき,80,100,15,特殊,非接触,30%の確率で相手を『まひ』状態にする。
ボルトチェンジ,うめ、まちだ、あゆま、はるた、みっちー、せな、まこっちゃん,でんき,70,100,20,特殊,非接触,攻撃後、手持ちのポケモンと入れ替わる。
いやしのねがい,ぶっちー、はるた、にしき、まこっちゃん,エスパー,-,-,10,変化,非接触,自分が『ひんし』になる代わりに、次に出す自分のポケモンの状態異常とHPが全回復する。
ガードシェア,ぶっちー、にしき、いっくん,エスパー,-,-,10,変化,非接触,自分と相手の『ぼうぎょ』と『とくぼう』を足して半分に分ける。
ガードスワップ,ぶっちー、みっちー、にしき,エスパー,-,-,10,変化,非接触,自分と相手の『ぼうぎょ』『とくぼう』ランクを入れ替える。
こうそくいどう,えいらく、まちだ、あゆま、ともき、はるた、まっちゃん、みっちー,エスパー,-,-,30,変化,非接触,自分の『すばやさ』ランクが2段階上がる。
コスモパワー,れおさん,エスパー,-,-,20,変化,非接触,自分の『ぼうぎょ』『とくぼう』ランクが1段階ずつ上がる。
サイコフィールド,ぶっちー、みっちー、にしき,エスパー,-,-,10,変化,非接触,"5ターンの間、場の状態を『サイコフィールド』にする。
『ひこう』タイプや特性『ふゆう』などではない地面にいるすべてのポケモンは、
相手(味方は含まない)の先制技を受けなくなり、また『エスパー』タイプの技の威力が1.3倍になる
(第7世代までは1.5倍)。道具『サイコシード』を持ったポケモンは『とくぼう』ランクが1段階上がる。"
さいみんじゅつ,みっちー、にしき、れおさん,エスパー,-,60,20,変化,非接触,相手を2～4ターン(実質1～3ターン)の間『ねむり』状態にする。
じゅうりょく,みっちー、にしき,エスパー,-,-,5,変化,非接触,"5ターンの間、すべてのポケモンの命中率が5/3倍になる。
また、特性『ふゆう』や、『ひこう』タイプのポケモンに『じめん』タイプの技が当たるようになる。
技『そらをとぶ』『はねる』『とびげり』『とびひざげり』『とびはねる』『でんじふゆう』『フライングプレス』
『フリーフォール』が使えなくなり、使用している場合は解除される。『テレキネシス』を受けなくなり、
受けている場合は解除される。技『Gのちから』の威力が1.5倍になる。"
スキルスワップ,ぶっちー、みっちー、にしき,エスパー,-,-,10,変化,非接触,自分と相手の特性を入れ替える。
テレポート,もりみつ、れおさん,エスパー,-,-,20,変化,非接触,必ず後攻になる(優先度:-6)。手持ちのポケモンと入れ替わる。
トリック,とうま、ぶっちー、みっちー、にしき、まこっちゃん,エスパー,-,100,10,変化,非接触,相手と自分が持っている道具を入れ替える。片方しか道具を持っていない場合も成功する。
トリックルーム,にしき,エスパー,-,-,5,変化,非接触,"5ターンの間、『すばやさ』が低いポケモンから攻撃できるようになる。ただし、必ず先制できる技には無効。
もう1度使用すると元に戻る。必ず後攻になる(優先度:-7)。"
ドわすれ,"たつた、うめ、とうま、もりもり、あゆま、まっちゃん、にしき、せな、いっくん、
ふうと
",エスパー,-,-,20,変化,非接触,自分の『とくぼう』ランクを2段階上げる。
ねむる,"えいらく、たつた、もりみつ、たかほ、うめ、まちだ、とうま、もりもり、あゆま、
ぶっちー、ともき、はるた、まっちゃん、みっちー、にしき、せな、いっくん、
まこっちゃん",エスパー,-,-,5,変化,非接触,HPと状態異常をすべて回復した後、2ターンの間『ねむり』状態になる。
パワーシェア,もりみつ、たかほ、ぶっちー、まっちゃん、みっちー、にしき,エスパー,-,-,10,変化,非接触,自分と相手の『こうげき』と『とくこう』を足して半分に分ける。
パワースワップ,みっちー、にしき,エスパー,-,-,10,変化,非接触,自分と相手の『こうげき』『とくこう』ランクを入れ替える。
パワートリック,とうま、ぶっちー、みっちー、にしき、まこっちゃん,エスパー,-,-,10,変化,非接触,自分の『こうげき』と『ぼうぎょ』を入れ替える。『ランク』は変化しない。
ひかりのかべ,もりみつ、うめ、ぶっちー、はるた、みっちー、にしき、まこっちゃん、れおさん,エスパー,-,-,30,変化,非接触,5ターンの間、相手の特殊攻撃のダメージを半分にする。
ふういん,ぶっちー、みっちー、にしき、まこっちゃん,エスパー,-,-,10,変化,非接触,自分が場を離れるまで、自分が覚えている技と同じ技を相手のポケモンは使えなくなる。
めいそう,たかほ、まっちゃん、にしき、れおさん、まこっちゃん,エスパー,-,-,20,変化,非接触,自分の『とくこう』『とくぼう』ランクが1段階ずつ上がる。
リフレクター,もりみつ、うめ、はるた、みっちー、にしき、まこっちゃん、れおさん,エスパー,-,-,20,変化,非接触,"5ターンの間、相手の物理攻撃のダメージを半分にする。味方が複数の場合は半分ではなく2/3になる。
急所に当たった場合は軽減されない。交代しても効果は続く。"
サイコカッター,とうま、ぶっちー、みっちー、にしき,エスパー,70,100,20,物理,非接触,急所に当たりやすい(急所ランク:+1)。
サイコファング,ぶっちー、みっちー、にしき,エスパー,85,100,10,物理,接触,"相手の技『リフレクター』『オーロラベール』の効果を受けず、
相手の技『リフレクター』『ひかりのかべ』『オーロラベール』を壊す。"
しねんのずつき,みっちー、にしき,エスパー,80,90,15,物理,接触,20%の確率で相手をひるませる。
アシストパワー,もりみつ、たかほ、ぶっちー、まっちゃん、みっちー、にしき、まこっちゃん,エスパー,20,100,10,特殊,非接触,自分のいずれかの能力ランクが1つ上がる度に威力が20上がる。
サイケこうせん,ぶっちー、みっちー、にしき、まこっちゃん,エスパー,65,100,20,特殊,非接触,10%の確率で相手を1～4ターンの間『こんらん』状態にする。
サイコキネシス,ぶっちー、みっちー、にしき、まこっちゃん、れおさん,エスパー,90,100,10,特殊,非接触,10%の確率で相手の『とくぼう』ランクを1段階下げる。
サイコショック,ぶっちー、みっちー、にしき、まこっちゃん,エスパー,80,100,10,特殊,非接触,相手の『とくぼう』ではなく、相手の『ぼうぎょ』の能力値でダメージ計算する。
サイコノイズ,ぶっちー、みっちー、にしき,エスパー,75,100,10,特殊,非接触,"100%の確率で、相手は2ターンの間『かいふくふうじ』状態となり、
回復系の技『あさのひざし』『いやしのねがい』『いやしのはどう』『ウッドホーン』『かいふくしれい』
『ギガドレイン』『きゅうけつ』『こうごうせい』『じこさいせい』『じょうか』『すいとる』『すなあつめ』
『タマゴうみ』『ちからをすいとる』『つきのひかり』『デスウイング』『ドレインキッス』『ドレインパンチ』
『なまける』『ねがいごと』『ねむる』『のみこむ』『はねやすめ』『パラボラチャージ』『フラワーヒール』
『みかづきのまい』『ミルクのみ』『メガドレイン』『ゆめくい』『いのちのしずく』『ジャングルヒール』
『みかづきのいのり』『さいきのいのり』『むねんのつるぎ』『シャカシャカほう』が使えなくなり、
また特性や道具、場の状態などでHPが回復しなくなる。音系の技。相手の『みがわり』状態を貫通する。"
じんつうりき,れおさん,エスパー,80,100,20,特殊,非接触,10%の確率で相手をひるませる。
ねんりき,れおさん,エスパー,50,100,25,特殊,非接触,10%の確率で相手を1～4ターンの間『こんらん』状態にする。
ミラーコート,ぶっちー、みっちー、にしき,エスパー,-,100,20,特殊,非接触,"相手の特殊攻撃のダメージの2倍をその相手に与える。『ダブルバトル』の時は最後に受けた技のみ有効になる。
必ず後攻になる(優先度:-5)。『あく』タイプには無効だが、それ以外のタイプ相性の影響を受けない。"
みらいよち,もりみつ、みっちー、まこっちゃん,エスパー,120,100,10,特殊,非接触,2ターン後に攻撃する。交代した場合は同じ位置にいるポケモンに攻撃する。タイプ相性の影響を受ける。
ゆめくい,みっちー、にしき,エスパー,100,100,15,特殊,非接触,相手に与えたダメージの半分だけ自分のHPが回復する。相手が『ねむり』状態の時だけ成功する。
オーロラベール,たつた、ともき、はるた,こおり,-,-,20,変化,非接触,"天気が『ゆき』状態の時のみ使用でき、
5ターンの間、自分と味方が受ける相手の物理攻撃と特殊攻撃のダメージを半分にする。
急所に当たった場合は軽減されない。交代しても効果は続く。"
くろいきり,うめ、ともき,こおり,-,-,30,変化,非接触,すべてのポケモンの能力ランクの変化を元に戻す。
さむいギャグ,あゆま、ともき,こおり,-,-,30,変化,非接触,"	手持ちのポケモンと入れ替わる。また、5ターンの間、天気を『ゆき』にする
(『こおり』タイプのポケモンは、『ぼうぎょ』が1.5倍になる)。"
しろいきり,うめ、はるた,こおり,-,-,30,変化,非接触,5ターンの間、自分と味方のポケモンは能力ランクを下げられなくなる。交代しても効果は続く。
ゆきげしき,たつた、うめ,こおり,-,-,10,変化,非接触,5ターンの間、天気を『ゆき』にする(『こおり』タイプのポケモンは、『ぼうぎょ』が1.5倍になる)。
アイススピナー,ともき、はるた,こおり,80,100,115,物理,接触,"場の状態
『グラスフィールド』『ミストフィールド』『エレキフィールド』『サイコフィールド』を解除し、元に戻す。"
アイスハンマー,ともき、はるた,こおり,100,90,10,物理,接触,攻撃後、自分の『すばやさ』ランクが1段階下がる。特性『てつのこぶし』の時、威力が1.2倍になる。
こおりのキバ,ともき、はるた,こおり,65,95,15,物理,接触,10%の確率で相手を『こおり』状態にするか、ひるませる。
こおりのつぶて,たつた、うめ、ともき、はるた,こおり,40,100,30,物理,接触,必ず先制できる(優先度:+1)。
つららおとし,たつた、うめ、ともき、はるた,こおり,85,90,10,物理,非接触,30%の確率で相手をひるませる。
つららばり,たつた、うめ、ともき、はるた,こおり,25,100,30,物理,非接触,1ターンに2～5回連続で攻撃する。
トリプルアクセル,ともき、はるた,こおり,20,90,10,物理,接触,1ターンに外れるまで最大3回連続で攻撃する。攻撃が当たる度に威力が20ずつ増える。
ゆきなだれ,たつた、うめ、ともき、はるた,こおり,60,100,10,物理,接触,そのターンに相手の技のダメージを受けると威力が2倍になる。必ず後攻になる(優先度:-4)。
れいとうパンチ,ともき、はるた、まっちゃん,こおり,75,100,15,物理,接触,10%の確率で相手を『こおり』状態にする。特性『てつのこぶし』の時、威力が1.2倍になる。
オーロラビーム,ともき、はるた,こおり,65,100,20,特殊,非接触,10%の確率で相手の『こうげき』ランクを1段階下げる。
こおりのいぶき,ともき、はるた,こおり,60,90,10,特殊,非接触,必ず急所に当たる。
こごえるかぜ,ともき、はるた,こおり,55,95,15,特殊,非接触,100%の確率で相手の『すばやさ』ランクを1段階下げる。
こなゆき,うめ、ともき、はるた,こおり,40,100,25,特殊,非接触,10%の確率で相手を『こおり』状態にする。
ぜったいれいど,あゆま、ともき、はるた,こおり,-,30,5,特殊,非接触,"相手を『ひんし』状態にする。相手のレベルが自分より高いと失敗する。
(30＋自分のレベル－相手のレベル)が命中率になる。
第7世代以降は『こおり』タイプ以外のポケモンが使うと命中率が下がり(20＋自分のレベル－相手のレベル？)、
また相手が『こおり』タイプの場合は効果がない。ダイマックスしている相手にも無効。"
ふぶき,たつた、うめ,こおり,110,70,5,特殊,非接触,10%の確率で相手を『こおり』状態にする。天気が『ゆき』の時は必ず命中する。
フリーズドライ,にしき,こおり,70,100,20,特殊,非接触,10%の確率で相手を『こおり』状態にする。この技は『みず』タイプにも効果抜群になる。
れいとうビーム,ともき、はるた,こおり,90,100,10,特殊,非接触,10%の確率で相手を『こおり』状態にする。
りゅうのまい,たつた、まっちゃん,ドラゴン,-,-,20,変化,非接触,自分の『こうげき』『すばやさ』ランクを1段階ずつ上げる。
げきりん,あゆま、まっちゃん、せな,ドラゴン,120,100,10,物理,接触,2～3ターン連続で攻撃し、その後自分は1～4ターンの間『こんらん』状態になる。
スケイルショット,たつた、まっちゃん,ドラゴン,25,90,20,物理,非接触,"1ターンに2～5回連続で攻撃する。
その後、自分の『ぼうぎょ』ランクが1段階下がり、『すばやさ』ランクが1段階上がる。"
ドラゴンクロー,たつた、まっちゃん,ドラゴン,80,100,15,物理,接触,通常攻撃。
ドラゴンダイブ,たつた、まっちゃん,ドラゴン,100,75,10,物理,接触,20%の確率で相手をひるませる。相手が『ちいさくなる』を使用していると必ず命中し、威力が2倍になる。
ドラゴンテール,たつた、まっちゃん,ドラゴン,60,90,10,物理,接触,"必ず後攻になる(優先度:-6)。攻撃後、相手のポケモンを強制的に交代させる。
野生のポケモンの場合は戦闘を終了する。"
ワイドブレイカー,たつた、まっちゃん,ドラゴン,60,100,15,物理,接触,100%の確率で相手の『こうげき』ランクを1段階下げる。
たつまき,たつた、まっちゃん,ドラゴン,40,100,20,特殊,非接触,"20%の確率で相手をひるませる。
相手が技『そらをとぶ』『とびはねる』『フリーフォール』を使っている時でも命中し、ダメージが2倍になる。"
ときのほうこう,まこっちゃん,ドラゴン,150,90,5,特殊,非接触,使用した次のターンは行動できない。
りゅうせいぐん,たつた、まっちゃん,ドラゴン,130,90,5,特殊,非接触,攻撃後、100%の確率で自分の『とくこう』ランクが2段階下がる。
りゅうのいぶき,たつた、まっちゃん,ドラゴン,60,100,20,特殊,非接触,30%の確率で相手を『まひ』状態にする。
りゅうのはどう,たつた、まっちゃん、れおさん,ドラゴン,85,100,10,特殊,非接触,通常攻撃。
いちゃもん,"もりみつ、うめ、とうま、もりもり、あゆま、ともき、まっちゃん、みっちー、せな、
いっくん",あく,-,100,15,変化,非接触,使用後、相手は同じ技を連続で出せなくなる。
うそなき,とうま、あゆま、みっちー,あく,-,100,20,変化,非接触,相手の『とくぼう』ランクを2段階下げる。
おきみやげ,とうま、あゆま、みっちー,あく,-,100,10,変化,非接触,自分が『ひんし』になる代わりに、相手の『こうげき』『とくこう』ランクを2段階ずつ下げる。
おだてる,もりみつ、たかほ、まっちゃん,あく,-,100,15,変化,非接触,相手を1～4ターンの間『こんらん』状態にするが、相手の『とくこう』ランクを1段階上げてしまう。
すてゼリフ,あゆま,あく,-,100,20,変化,非接触,"相手の『こうげき』『とくこう』ランクを1段階下げたあと、手持ちのポケモンと入れ替わる。音系の技。
相手の『みがわり』状態を貫通する。"
すりかえ,ともき、みっちー,あく,-,100,20,変化,非接触,相手と自分が持っている道具を入れ替える。片方しか道具を持っていない場合も成功する。
ちょうはつ,えいらく、もりみつ、うめ、とうま、あゆま、まっちゃん、みっちー,あく,-,100,20,変化,非接触,3ターンの間、相手は攻撃技しか出せなくなる。(変化技を使えなくする)
つめとぎ,とうま、あゆま、みっちー、にしき,あく,-,-,15,変化,非接触,自分の『こうげき』『命中率』ランクが1段階ずつ上がる。
わるだくみ,"えいらく、たつた、もりみつ、うめ、まちだ、とうま、もりもり、あゆま、ともき、
はるた、まっちゃん、みっちー、にしき、せな、いっくん、ふうと、れおさん",あく,-,-,20,変化,非接触,自分の『とくこう』ランクを2段階上げる。
イカサマ,とうま、あゆま、みっちー,あく,95,100,15,物理,接触,自分の『こうげき』ではなく、相手の『こうげき』の能力値でダメージ計算する。
うっぷんばらし,もりもり、あゆま、ともき、はるた、まっちゃん、せな,あく,75,100,5,物理,接触,"そのターンの間に自分の能力ランクを下げられていると、威力が2倍になる(通常は後攻で攻撃する必要があるが、
場に出た時に能力ランクを下げられた場合も対象となる)。"
かみくだく,とうま、あゆま、みっちー,あく,80,100,15,物理,接触,20%の確率で相手の『ぼうぎょ』ランクを1段階下げる。
かみつく,とうま、あゆま、みっちー,あく,60,100,25,物理,接触,30%の確率で相手をひるませる。
くらいつく,とうま、あゆま、まっちゃん、みっちー、にしき,あく,80,100,10,物理,接触,"自分と相手のどちらかが『ひんし』になるまで、どちらも逃げたり交代できなくなる。
自分か相手が『ゴースト』タイプの場合は追加効果はない。"
しっぺがえし,とうま、あゆま、みっちー,あく,50,100,10,物理,接触,自分が後攻の時、威力が2倍になる。
じごくづき,もりみつ、とうま、あゆま、みっちー,あく,80,100,15,物理,接触,"相手は2ターンの間、音系の技『いにしえのうた』『いびき』『いやしのすず』『いやなおと』『うたう』
『うたかたのアリア』『エコーボイス』『おしゃべり』『おたけび』『きんぞくおん』『くさぶえ』『さわぐ』
『スケイルノイズ』『すてゼリフ』『チャームボイス』『ちょうおんぱ』『とおぼえ』『ないしょばなし』『なきごえ』
『バークアウト』『ハイパーボイス』『ばくおんぱ』『ほえる』『ほろびのうた』『むしのさざめき』『りんしょう』
『ソウルビート』『オーバードライブ』『ぶきみなじゅもん』『フレアソング』『みわくのボイス』『サイコノイズ』
を使えなくなる。"
ダメおし,とうま、あゆま、みっちー,あく,60,100,10,物理,接触,そのターン、相手が既にダメージを受けている時、威力が2倍になる。
つけあがる,とうま,あく,20,100,10,物理,接触,自分のいずれかの能力ランクが1つ上がる度に威力が20上がる。
つじぎり,とうま、あゆま、ぶっちー,あく,70,100,15,物理,接触,急所に当たりやすい(急所ランク:+1)。
どろぼう,とうま、あゆま、みっちー,あく,60,100,25,物理,接触,"相手が持っている道具を自分の物にする。自分が既に道具を持っている場合は失敗するが、
技『はたきおとす』で自分の道具が無効化されている時は奪う事ができ、道具は上書きされる。
トレーナー戦の場合はバトル終了後になくなる。"
なげつける,たつた、うめ、とうま、あゆま、ともき、せな,あく,-,100,10,物理,非接触,自分の持っている道具によって効果が変化する。投げつけた道具はなくなる。
はたきおとす,とうま、もりもり、あゆま、みっちー,あく,65,100,20,物理,接触,"相手が道具を持っている場合、ダメージが1.5倍になり、さらに道具を持っていない状態にする。
戦闘終了後、道具は元に戻る。"
ふいうち,もりみつ、とうま、あゆま、ともき、みっちー,あく,70,100,5,物理,接触,"必ず先制できる(優先度:+1)。
そのターン相手が選んだ技が攻撃技ではない場合や、優先度などの関係ですでに攻撃を終えていた場合は失敗する。
相手が『ねむり』『こおり』状態でも攻撃技を選択していれば成功する。"
ふくろだたき,とうま、あゆま、みっちー,あく,-,100,10,物理,非接触,自分を含む『ひんし』や状態異常でない『てもち』のポケモンの数だけ攻撃する。
ぶんまわす,まっちゃん,あく,60,100,20,物理,接触,通常攻撃。
あくのはどう,とうま、あゆま、みっちー、れおさん,あく,80,100,15,特殊,非接触,20%の確率で相手をひるませる。
カタストロフィ,とうま、もりもり、あゆま、いっくん,あく,-,90,10,特殊,非接触,相手のHPを残りHPの半分にする。タイプ相性の影響を受けない。
ナイトバースト,とうま、あゆま、みっちー,あく,85,95,10,特殊,非接触,40%の確率で相手の命中率を1段階下げる。
バークアウト,あゆま、みっちー,あく,55,95,15,特殊,非接触,100%の確率で相手の『とくこう』ランクを1段階下げる。音系の技。相手の『みがわり』状態を貫通する。
あまえる,えいらく、とうま、もりもり、はるた、にしき、いっくん,フェアリー,-,100,20,変化,非接触,相手の『こうげき』ランクを2段階下げる。
つきのひかり,もりみつ、ぶっちー、はるた、まこっちゃん,フェアリー,-,-,20,変化,非接触,HPが、天気が通常の時は最大HPの1/2、『にほんばれ』の時は最大HPの2/3、『あめ』『ゆき』『すなあらし』の時は最大HPの1/4回復する。
つぶらなひとみ,えいらく,フェアリー,-,-,5,変化,非接触,必ず先制できる(優先度:+1)。相手の『こうげき』ランクを1段階下げる。
てんしのキッス,ぶっちー、はるた、まこっちゃん,フェアリー,-,75,10,変化,非接触,相手を1～4ターンの間『こんらん』状態にする。
ミストフィールド,ぶっちー、はるた、まこっちゃん,フェアリー,-,-,10,変化,非接触,"5ターンの間、場の状態を『ミストフィールド』にする。
『ひこう』タイプや特性『ふゆう』などではない地面にいるすべてのポケモンは、状態異常にならず、
また『ドラゴン』タイプの技の受けるダメージが半減する。すでに状態異常の場合は回復しない。
道具『ミストシード』を持ったポケモンは『とくぼう』ランクが1段階上がる。"
じゃれつく,"えいらく、たつた、もりみつ、たかほ、うめ、とうま、もりもり、あゆま、ぶっちー、
ともき、はるた、まっちゃん",フェアリー,90,90,10,物理,接触,10%の確率で相手の『こうげき』ランクを1段階下げる。
チャームボイス,まちだ、もりもり、ぶっちー、はるた、ふうと、まこっちゃん,フェアリー,40,-,15,特殊,非接触,自分の命中率、相手の回避率に関係なく必ず命中する。音系の技。相手の『みがわり』状態を貫通する。
ドレインキッス,もりもり、ぶっちー、はるた、まこっちゃん,フェアリー,50,100,10,特殊,非接触, 相手に与えたダメージの3/4だけ自分のHPが回復する。
マジカルシャイン,まちだ、ぶっちー、はるた、まこっちゃん,フェアリー,80,100,10,特殊,非接触,通常攻撃。
ミストバースト,ぶっちー、はるた、まこっちゃん,フェアリー,100,100,5,特殊,非接触,"攻撃後、自分が『ひんし』状態になる。場の状態が『ミストフィールド』で、
自分が『ひこう』タイプや特性『ふゆう』などではなく地面にいる時、威力が1.5倍になる。"
みわくのボイス,えいらく、まちだ、ぶっちー、はるた、まこっちゃん,フェアリー,80,100,10,特殊,非接触,"100%の確率で、そのターンの間に能力ランクが上がった相手ポケモンを1～4ターンの間『こんらん』状態にする(
通常は後攻で攻撃する必要があるが、場に出た時に能力ランクが上がった場合も対象となる)。音系の技。
相手の『みがわり』状態を貫通する。"
ムーンフォース,もりみつ、ぶっちー、はるた、まこっちゃん,フェアリー,95,100,15,特殊,非接触,30%の確率で相手の『とくこう』ランクを1段階下げる。
ようせいのかぜ,ぶっちー、はるた、まこっちゃん,フェアリー,40,100,30,特殊,非接触,通常攻撃。
